,Director,Country,Birth year
490,Victor Fleming,Estados Unidos,1883
491,Jean Renoir,Francia,1894
492,Carl Theodor Dreyer,Dinamarca,1889
493,F.W. Murnau,Alemania,1888
494,Clyde Bruckman,Estados Unidos,1894
495,Robert Wiene,Alemania,1873
496,Amit Ravindernath Sharma,India,1976
497,Ericson Core,Estados Unidos,1967
498,Raja Menon,India,1964
499,Kabir Khan,India,1969
500,Garth Davis,Australia,1982
501,Byron Howard,Estados Unidos,1968
502,Stephen Chbosky,Estados Unidos,1970
503,Destin Daniel Cretton,Estados Unidos,1978
504,Gareth Evans,Reino Unido,1980
505,Morten Tyldum,Noruega,1967
506,James Gunn,Estados Unidos,1966
507,Spike Jonze,Estados Unidos,1969
508,José Padilha,Brasil,1967
509,Tom Hooper,Inglaterra,1972
510,Tate Taylor,Estados Unidos,1969
511,Tim Miller,Estados Unidos,1964
512,Wilson Yip,Hong Kong,1963
513,Karan Johar,India,1972
514,Levent Semerci,Turquía,1972
515,Joss Whedon,Estados Unidos,1964
516,Vincent Paronnaud,Francia,1970
517,Jean-Marc Vallée,Canadá,1963
518,Gabriele Muccino,Italia,1967
519,Edward Zwick,Estados Unidos,1952
520,Paul Greengrass,Inglaterra,1955
521,Ki-duk Kim,Corea del Sur,1960
522,Frank Miller,Estados Unidos,1957
523,Julian Schnabel,Estados Unidos,1951
524,Ömer Faruk Sorak,Turquía,1964
525,Brad Bird,Estados Unidos,1957
526,Martin Campbell,Nueva Zelanda,1943
527,Andrey Zvyagintsev,Rusia,1964
528,Alejandro Amenábar,España,1972
529,Nikkhil Advani,India,1971
530,Andrew Lau,Hong Kong,1960
531,Gore Verbinski,Estados Unidos,1953
532,Tim Burton,Inglaterra,1958
533,Jae-young Kwak,Corea del Sur,1967
534,Lars von Trier,Dinamarca,1956
535,Yilmaz Erdogan,Turquía,1966
536,Richard Kelly,Estados Unidos,1975
537,Satoshi Kon,Japon,1963
538,Walter Salles,Brasil,1956
539,Thomas Jahn,Alemania,1966
540,Billy Bob Thornton,Estados Unidos,1955
541,Mike Leigh,Inglaterra,1943
542,Mamoru Oshii,Japon,1951
543,Henry Selick,Estados Unidos,1952
544,Harold Ramis,Estados Unidos,1944
545,Taylor Hackford,Estados Unidos,1944
546,Martin Brest,Estados Unidos,1950
547,Ron Clements,Estados Unidos,1953
